Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.30  6414.83 2186.31  774.94 40925.08 25013.44    22.27     0.81    0.28   0.04  12.03
sdc               0.08     0.01    0.03    0.17     0.28     5.36    28.68     0.00    1.52   0.69   0.01
sde               0.07  3270.77 2186.45  246.80 41116.73 24643.55    27.03     0.80    0.33   0.05  11.54
sdd               0.07  2753.25 2184.29  200.90 39875.56 23004.88    26.36     0.76    0.32   0.05  11.36
sdf               0.07  2522.13 2184.26  180.40 39843.39 21535.54    25.96     1.06    0.45   0.05  11.67
sda               0.26     2.97    0.52    1.20    27.21    33.43    35.24     0.15   86.71   3.49   0.60
dm-0              0.00     0.00    0.64    4.18    26.79    33.43    12.50     0.59  122.48   1.24   0.60
dm-1              0.00     0.00    0.01    0.00     0.07     0.00     8.00     0.00    4.00   3.02   0.00
dm-2              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    4.14   3.09   0.00
md0               0.00     0.00 8737.09 5671.07 159596.72 77449.65    16.45     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00   341.58 28885.90    9.72 231087.20  2809.47     8.09     7.61    0.27   0.03  99.80
sdc               0.00     0.03    0.00    0.42     0.00     3.22     7.72     0.00    0.00   0.00   0.00
sde               0.00   338.35 28790.38    7.28 230323.07  2765.07     8.09     4.64    0.17   0.03  98.98
sdd               0.00   338.83 28761.15    6.65 230089.20  2763.87     8.09     4.60    0.16   0.03  98.93
sdf               0.00   339.70 28838.80    5.90 230710.40  2764.80     8.09     7.27    0.26   0.03  99.72
sda               0.00     0.83    0.03    1.28     0.93    18.00    14.38     0.03   22.35   6.71   0.88
dm-0              0.00     0.00    0.02    2.08     0.40    16.67     8.13     0.05   23.22   4.21   0.88
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
