Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            3440.39     24150.34     23707.12 2197861785 2157525094
sdc               0.33         1.18        10.53     107046     958709
sde            3185.21     24231.08     23574.85 2205210050 2145487974
sdd            3181.07     23711.11     22473.49 2157888378 2045255670
sdf            3146.46     23697.68     22184.66 2156666538 2018969974
sda               1.48        15.85        24.86    1442872    2262220
dm-0              3.55        15.68        24.86    1426930    2262176
dm-1              0.00         0.03         0.00       2592          0
dm-2              0.00         0.01         0.00       1280         16
md0           15878.40     94884.36     84929.72 8635187802 7729241072

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            1393.30      9869.73      7020.53     592184     421232
sdc               0.08         0.00         0.72          0         43
sde            1336.80      9820.40      7801.87     589224     468112
sdd            1324.10      9833.73      5368.27     590024     322096
sdf            1339.35      9908.13      7587.07     594488     455224
sda               1.13         0.00        13.60          0        816
dm-0              1.70         0.00        13.60          0        816
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8405.40     39431.87     27777.73    2365912    1666664

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            1405.92     10243.60      4554.00     614616     273240
sdc               0.63         0.00         5.30          0        318
sde            1330.28      9905.20      5631.60     594312     337896
sdd            1330.83     10060.80      3345.07     603648     200704
sdf            1288.55      9674.80      5156.93     580488     309416
sda               0.82         0.00        11.47          0        688
dm-0              1.43         0.00        11.47          0        688
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7325.97     39884.80     18687.60    2393088    1121256

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            1471.22     10874.00      4139.60     652440     248376
sdc               0.10         0.00         0.63          0         38
sde            1493.82     11224.53      5359.87     673472     321592
sdd            1451.93     11081.07      2893.60     664864     173616
sdf            1489.55     11277.20      4946.93     676632     296816
sda               0.92         0.00        11.07          0        664
dm-0              1.38         0.00        11.07          0        664
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7729.58     44456.67     17340.00    2667400    1040400

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            1368.70     10785.87       643.33     647152      38600
sdc               0.07         0.00         0.10          0          6
sde            1365.47     10791.87       805.60     647512      48336
sdd            1366.45     10825.87       442.53     649552      26552
sdf            1374.15     10886.67       665.47     653200      39928
sda               0.75         0.00         8.80          0        528
dm-0              1.10         0.00         8.80          0        528
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5731.68     43290.27      2556.93    2597416     153416

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            1379.20     11032.00         1.73     661920        104
sdc               0.45         0.00         3.93          0        236
sde            1375.98     11007.07         1.07     660424         64
sdd            1368.68     10949.33         0.13     656960          8
sdf            1385.48     11083.87         0.00     665032          0
sda               1.13         0.00        14.53          0        872
dm-0              1.82         0.00        14.53          0        872
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5509.40     44072.27         2.93    2644336        176

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            1434.03     11470.67         1.47     688240         88
sdc               0.10         0.00         0.98          0         59
sde            1397.02     11174.80         1.87     670488        112
sdd            1411.67     11293.33         0.00     677600          0
sdf            1368.38     10947.07         0.00     656824          0
sda               0.92         0.00        10.93          0        656
dm-0              1.37         0.00        10.93          0        656
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5611.15     44885.87         3.33    2693152        200

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            1381.73     11051.33         2.53     663080        152
sdc               0.27         0.00         2.00          0        120
sde            1423.48     11385.87         2.53     683152        152
sdd            1411.78     11294.27         0.00     677656          0
sdf            1430.65     11445.20         0.00     686712          0
sda               1.12         0.00        12.53          0        752
dm-0              1.57         0.00        12.53          0        752
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5647.72     45176.67         5.07    2710600        304

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            1374.78     10996.93         1.33     659816         80
sdc               0.45         0.00         3.95          0        237
sde            1377.83     11021.73         1.33     661304         80
sdd            1378.75     11030.00         0.00     661800          0
sdf            1386.70     11093.60         0.00     665616          0
sda               1.13         0.00        13.47          0        808
dm-0              1.68         0.00        13.47          0        808
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5518.10     44142.13         2.67    2648528        160

