Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.13  2974.80 1792.62 1647.78 24150.34 23707.12    13.91     1.25    0.37   0.04  14.79
sdc               0.03     0.02    0.09    0.24     1.18    10.53    35.54     0.00    0.97   0.55   0.02
sde               0.03  1680.65 1792.74 1392.47 24231.08 23574.85    15.01     0.79    0.25   0.04  14.27
sdd               0.03  1396.06 1791.78 1389.29 23711.11 22473.49    14.52     0.78    0.25   0.04  14.18
sdf               0.03  1366.11 1791.77 1354.69 23697.68 22184.66    14.58     1.25    0.40   0.05  15.10
sda               0.12     2.00    0.38    1.10    15.85    24.86    27.45     0.08   50.89   4.93   0.73
dm-0              0.00     0.00    0.44    3.11    15.68    24.86    11.43     0.30   83.99   2.06   0.73
dm-1              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    4.00   3.02   0.00
dm-2              0.00     0.00    0.00    0.00     0.01     0.00     8.00     0.00    4.14   3.09   0.00
md0               0.00     0.00 7167.14 8711.26 94884.36 84929.72    11.32     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00   737.22 1233.72  159.58  9869.73  7020.53    12.12     0.29    0.21   0.19  27.14
sdc               0.00     0.00    0.00    0.08     0.00     0.72     8.60     0.00    0.00   0.00   0.00
sde               0.00   866.00 1227.55  109.23  9820.40  7801.87    13.18     0.23    0.18   0.16  20.78
sdd               0.00   576.15 1229.22   94.88  9833.73  5368.27    11.48     0.23    0.17   0.16  20.81
sdf               0.00   847.55 1238.50  100.83  9908.00  7587.07    13.06     0.28    0.21   0.18  24.12
sda               0.00     0.57    0.00    1.13     0.00    13.60    12.00     0.02   19.13   7.81   0.89
dm-0              0.00     0.00    0.00    1.70     0.00    13.60     8.00     0.03   17.26   5.21   0.89
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 4928.98 3476.42 39431.87 27777.73     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00   459.52 1280.47  125.47 10243.73  4554.00    10.53     0.29    0.21   0.20  27.74
sdc               0.00     0.03    0.00    0.63     0.00     5.30     8.37     0.00    0.29   0.11   0.01
sde               0.00   611.82 1238.15   92.13  9905.20  5631.60    11.68     0.22    0.17   0.15  19.86
sdd               0.00   344.90 1257.62   73.23 10060.93  3345.07    10.07     0.22    0.16   0.15  20.27
sdf               0.00   565.42 1209.35   79.20  9674.80  5156.93    11.51     0.25    0.20   0.17  22.54
sda               0.00     0.62    0.00    0.82     0.00    11.47    14.04     0.01   13.94   7.61   0.62
dm-0              0.00     0.00    0.00    1.43     0.00    11.47     8.00     0.02   13.06   4.34   0.62
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 4985.62 2340.37 39884.93 18687.60     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00   419.68 1359.23  111.97 10873.87  4139.60    10.20     0.32    0.22   0.21  30.55
sdc               0.00     0.00    0.00    0.10     0.00     0.63     6.33     0.00    0.00   0.00   0.00
sde               0.00   579.23 1403.07   90.75 11224.53  5359.87    11.10     0.23    0.15   0.14  20.65
sdd               0.00   294.90 1385.12   66.80 11080.93  2893.60     9.62     0.21    0.15   0.14  20.17
sdf               0.00   538.47 1409.65   79.90 11277.20  4946.93    10.89     0.26    0.17   0.16  23.40
sda               0.00     0.47    0.00    0.92     0.00    11.07    12.07     0.02   16.89   7.20   0.66
dm-0              0.00     0.00    0.00    1.38     0.00    11.07     8.00     0.02   16.55   4.77   0.66
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 5557.08 2172.50 44456.67 17340.00     7.99     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00    62.38 1348.23   20.47 10785.87   643.33     8.35     0.33    0.24   0.24  32.99
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00    84.22 1348.98   16.48 10791.87   805.60     8.49     0.19    0.14   0.14  18.86
sdd               0.00    42.10 1353.23   13.22 10825.87   442.53     8.25     0.19    0.14   0.14  19.05
sdf               0.00    69.87 1360.83   13.32 10886.67   665.47     8.41     0.23    0.17   0.17  22.68
sda               0.00     0.35    0.00    0.75     0.00     8.80    11.73     0.01   11.89   7.91   0.59
dm-0              0.00     0.00    0.00    1.10     0.00     8.80     8.00     0.01   13.18   5.41   0.59
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 5411.28  320.40 43290.27  2556.93     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.05 1379.00    0.20 11032.00     1.73     8.00     0.32    0.23   0.23  31.81
sdc               0.00     0.02    0.00    0.45     0.00     3.93     8.74     0.00    0.04   0.04   0.00
sde               0.00     0.03 1375.87    0.10 11006.93     1.07     8.00     0.19    0.14   0.14  19.07
sdd               0.00     0.00 1368.67    0.02 10949.33     0.13     8.00     0.19    0.14   0.14  18.88
sdf               0.00     0.00 1385.47    0.00 11083.73     0.00     8.00     0.23    0.17   0.17  23.27
sda               0.00     0.68    0.00    1.13     0.00    14.53    12.82     0.02   18.21   7.43   0.84
dm-0              0.00     0.00    0.00    1.82     0.00    14.53     8.00     0.03   17.26   4.63   0.84
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 5509.00    0.37 44072.00     2.93     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.03 1433.83    0.20 11470.67     1.47     8.00     0.32    0.22   0.22  31.53
sdc               0.00     0.00    0.00    0.10     0.00     0.98     9.83     0.00    0.00   0.00   0.00
sde               0.00     0.07 1396.87    0.17 11174.93     1.87     8.00     0.20    0.14   0.14  19.56
sdd               0.00     0.00 1411.65    0.00 11293.20     0.00     8.00     0.20    0.14   0.14  19.59
sdf               0.00     0.00 1368.40    0.00 10947.20     0.00     8.00     0.22    0.16   0.16  22.07
sda               0.00     0.45    0.00    0.92     0.00    10.93    11.93     0.01   13.09   7.55   0.69
dm-0              0.00     0.00    0.00    1.37     0.00    10.93     8.00     0.02   13.18   5.07   0.69
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 5610.72    0.42 44885.73     3.33     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.07 1381.42    0.32 11051.33     2.53     8.00     0.30    0.22   0.22  30.47
sdc               0.00     0.02    0.00    0.27     0.00     2.00     7.50     0.00    0.19   0.19   0.01
sde               0.00     0.07 1423.23    0.25 11385.87     2.53     8.00     0.20    0.14   0.14  19.59
sdd               0.00     0.00 1411.78    0.00 11294.27     0.00     8.00     0.20    0.14   0.14  19.62
sdf               0.00     0.00 1430.65    0.00 11445.20     0.00     8.00     0.23    0.16   0.16  23.31
sda               0.00     0.45    0.00    1.12     0.00    12.53    11.22     0.02   15.19   6.64   0.74
dm-0              0.00     0.00    0.00    1.57     0.00    12.53     8.00     0.02   15.46   4.73   0.74
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
