Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            3427.27     24064.85     23565.38 2204279201 2158528526
sdc               0.33         1.17        10.48     107046     959793
sde            3173.62     24144.78     23436.07 2211600450 2146683846
sdd            3169.49     23628.28     22336.85 2164290602 2045998102
sdf            3135.09     23614.75     22053.99 2163050426 2020089294
sda               1.48        15.75        24.77    1442872    2269292
dm-0              3.53        15.58        24.77    1426930    2269248
dm-1              0.00         0.03         0.00       2592          0
dm-2              0.00         0.01         0.00       1280         16
md0           15816.61     94552.65     84427.05 8660781746 7733302128

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             532.62      4069.60       422.00     244176      25320
sdc               0.47         0.00         4.08          0        245
sde             565.87      4432.93       506.40     265976      30384
sdd             544.25      4269.87       340.27     256192      20416
sdf             567.48      4390.53       458.27     263432      27496
sda               1.75         0.00       799.47          0      47968
dm-0             99.93         0.00       799.47          0      47968
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            2363.30     17162.13      1726.93    1029728     103616

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.17         0.00         1.33          0         80
sdc               0.28         0.00         2.53          0        152
sde               0.12         0.00         1.33          0         80
sdd               0.12         0.00         1.33          0         80
sdf               0.00         0.00         0.00          0          0
sda               0.92         0.00        10.40          0        624
dm-0              1.30         0.00        10.40          0        624
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.50         0.00         4.00          0        240

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.05         0.00         0.27          0         16
sdc               0.07         0.00         0.10          0          6
sde               0.12         0.00         1.33          0         80
sdd               0.08         0.00         1.20          0         72
sdf               0.00         0.00         0.00          0          0
sda               0.97         0.00        10.53          0        632
dm-0              1.32         0.00        10.53          0        632
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.35         0.00         2.80          0        168

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.10         0.00         0.40          0         24
sdc               0.43         0.00         3.43          0        206
sde               0.07         0.00         0.67          0         40
sdd               0.12         0.00         1.87          0        112
sdf               0.02         0.00         0.67          0         40
sda               1.03         0.00        13.20          0        792
dm-0              1.65         0.00        13.20          0        792
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.45         0.00         3.60          0        216

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         0.80          0         48
sdc               0.08         0.00         0.62          0         37
sde               0.05         0.00         0.40          0         24
sdd               0.08         0.00         1.20          0         72
sdf               0.02         0.00         0.67          0         40
sda               1.03         0.00        12.40          0        744
dm-0              1.55         0.00        12.40          0        744
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.38         0.00         3.07          0        184

Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            3413.66     23969.44     23473.92 2204523385 2158949438
sdc               0.33         1.16        10.44     107046     960483
sde            3161.07     24049.28     23345.17 2211866426 2147107742
sdd            3156.94     23534.78     22250.34 2164546794 2046414030
sdf            3122.69     23521.38     21968.66 2163313858 2020507054
sda               1.48        15.69        25.24    1442872    2321116
dm-0              3.59        15.51        25.24    1426930    2321072
dm-1              0.00         0.03         0.00       2592          0
dm-2              0.00         0.01         0.00       1280         16
md0           15755.85     94178.53     84101.34 8661811482 7734989464

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             114.20         0.00     13904.27          0     834256
sdc               0.63         0.00         5.33          0        320
sde              84.62         0.00     14474.80          0     868488
sdd              90.88         0.00     13212.80          0     792768
sdf              81.97         0.00     13768.13          0     826088
sda               2.08         0.00       802.40          0      48144
dm-0            100.30         0.00       802.40          0      48144
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6904.68         0.00     55212.67          0    3312760

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             114.17         0.00     17989.07          0    1079344
sdc               0.08         0.00         0.37          0         22
sde              78.53         0.00     18706.27          0    1122376
sdd              73.58         0.00     16102.13          0     966128
sdf              75.93         0.00     18102.00          0    1086120
sda               0.73         0.00        10.27          0        616
dm-0              1.28         0.00        10.27          0        616
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8864.67         0.00     70899.47          0    4253968

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             160.10         0.00     19052.13          0    1143128
sdc               0.07         0.00         0.10          0          6
sde             109.17         0.00     19742.00          0    1184520
sdd             100.10         0.00     15578.13          0     934688
sdf             102.72         0.00     18966.13          0    1137968
sda               0.83         0.00         9.47          0        568
