Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.12  2956.77 1789.83 1637.44 24064.85 23565.38    13.90     1.25    0.37   0.04  14.90
sdc               0.03     0.02    0.09    0.24     1.17    10.48    35.41     0.00    0.97   0.55   0.02
sde               0.03  1671.25 1789.91 1383.71 24144.78 23436.07    14.99     0.78    0.25   0.05  14.30
sdd               0.03  1387.91 1788.98 1380.51 23628.28 22336.85    14.50     0.78    0.25   0.04  14.22
sdf               0.03  1358.66 1788.94 1346.14 23614.75 22053.99    14.57     1.24    0.40   0.05  15.16
sda               0.12     1.99    0.38    1.10    15.75    24.77    27.38     0.08   50.74   4.94   0.73
dm-0              0.00     0.00    0.44    3.10    15.58    24.77    11.42     0.30   83.80   2.07   0.73
dm-1              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    4.00   3.02   0.00
dm-2              0.00     0.00    0.00    0.00     0.01     0.00     8.00     0.00    4.14   3.09   0.00
md0               0.00     0.00 7155.91 8660.70 94552.65 84427.05    11.32     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00    40.98  508.70   23.92  4069.60   422.00     8.43     0.10    0.19   0.19   9.89
sdc               0.00     0.02    0.00    0.47     0.00     4.08     8.75     0.00    0.18   0.14   0.01
sde               0.00    51.55  554.12   11.75  4432.93   506.40     8.73     0.10    0.17   0.17   9.62
sdd               0.00    32.02  533.73   10.52  4269.87   340.27     8.47     0.10    0.18   0.17   9.47
sdf               0.00    38.62  548.82   18.67  4390.53   458.27     8.54     0.10    0.18   0.17   9.78
sda               0.00    98.18    0.00    1.75     0.00   799.47   456.84     0.03   16.21   6.72   1.18
dm-0              0.00     0.00    0.00   99.93     0.00   799.47     8.00     1.76   17.57   0.12   1.18
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 2145.27  218.03 17162.13  1726.93     7.99     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.03    0.00    0.17     0.00     1.33     8.00     0.00    0.30   0.30   0.01
sdc               0.00     0.02    0.00    0.28     0.00     2.53     8.94     0.00    0.18   0.18   0.01
sde               0.00     0.05    0.00    0.12     0.00     1.33    11.43     0.00    0.86   0.43   0.01
sdd               0.00     0.05    0.00    0.12     0.00     1.33    11.43     0.00    1.29   1.14   0.01
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.38    0.00    0.92     0.00    10.40    11.35     0.01   14.69   7.67   0.70
dm-0              0.00     0.00    0.00    1.30     0.00    10.40     8.00     0.02   15.24   5.40   0.70
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.50     0.00     4.00     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.02    0.00    0.05     0.00     0.27     5.33     0.00    1.00   1.00   0.01
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00     0.05    0.00    0.12     0.00     1.33    11.43     0.00    0.86   0.43   0.01
sdd               0.00     0.07    0.00    0.08     0.00     1.20    14.40     0.00    0.20   0.20   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.35    0.00    0.97     0.00    10.53    10.90     0.01   13.86   7.67   0.74
dm-0              0.00     0.00    0.00    1.32     0.00    10.53     8.00     0.02   13.80   5.66   0.74
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.35     0.00     2.80     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.00    0.00    0.10     0.00     0.40     4.00     0.00    1.50   0.50   0.01
sdc               0.00     0.02    0.00    0.43     0.00     3.43     7.92     0.00    0.08   0.04   0.00
sde               0.00     0.02    0.00    0.07     0.00     0.67    10.00     0.00    1.25   1.00   0.01
sdd               0.00     0.12    0.00    0.12     0.00     1.87    16.00     0.00    0.14   0.14   0.00
sdf               0.00     0.07    0.00    0.02     0.00     0.67    40.00     0.00    1.00   1.00   0.00
sda               0.00     0.62    0.00    1.03     0.00    13.20    12.77     0.01   14.06   6.94   0.72
dm-0              0.00     0.00    0.00    1.65     0.00    13.20     8.00     0.02   12.96   4.38   0.72
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.45     0.00     3.60     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.00    0.00    0.13     0.00     0.80     6.00     0.00    0.38   0.38   0.01
sdc               0.00     0.00    0.00    0.08     0.00     0.62     7.40     0.00    0.00   0.00   0.00
sde               0.00     0.00    0.00    0.05     0.00     0.40     8.00     0.00    1.00   0.33   0.00
sdd               0.00     0.07    0.00    0.08     0.00     1.20    14.40     0.00    0.20   0.20   0.00
sdf               0.00     0.07    0.00    0.02     0.00     0.67    40.00     0.00    1.00   1.00   0.00
sda               0.00     0.52    0.00    1.03     0.00    12.40    12.00     0.02   14.58   6.79   0.70
dm-0              0.00     0.00    0.00    1.55     0.00    12.40     8.00     0.02   14.98   4.57   0.71
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.38     0.00     3.07     8.00     0.00    0.00   0.00   0.00

Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.12  2945.27 1782.87 1630.79 23969.44 23473.92    13.90     1.24    0.37   0.04  14.84
sdc               0.03     0.02    0.09    0.24     1.16    10.44    35.34     0.00    0.97   0.55   0.02
sde               0.03  1665.00 1782.98 1378.09 24049.28 23345.17    14.99     0.78    0.25   0.05  14.25
sdd               0.03  1382.81 1782.04 1374.90 23534.78 22250.34    14.50     0.78    0.25   0.04  14.17
sdf               0.03  1353.67 1782.01 1340.68 23521.38 21968.66    14.57     1.24    0.40   0.05  15.10
sda               0.12     2.05    0.37    1.10    15.69    25.24    27.68     0.07   50.63   4.94   0.73
dm-0              0.00     0.00    0.43    3.15    15.51    25.24    11.35     0.30   82.50   2.04   0.73
dm-1              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    4.00   3.02   0.00
