procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 514852800 771480 7113444    0    0   745   714    6    2  0  1 97  1  0	
 2  0      0 518127488 771532 4050844    0    0  8582  1265 4896 7329  0  0 99  1  0	
 2  0      0 518127904 771560 4050892    0    0     0     8  358  521  0  0 100  0  0	
 3  0      0 518128320 771600 4050928    0    0     0     7  350  514  0  0 100  0  0	
 1  0      0 518128608 771644 4050980    0    0     0    10  362  521  0  0 100  0  0	
 1  0      0 518126336 771688 4051032    0    0     0     8  381  534  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 517201472 771756 4949076    0    0   742   711    6    2  0  1 97  1  0	
 5  0      0 516718720 771812 5298816    0    0     0 28112 1924 1823  1  0 99  0  0	
 5  0      0 516310400 771852 5673784    0    0     0 35455 2027 2480  2  0 98  0  0	
 8  0      0 516093344 771896 5882736    0    0     0 36674 2230 3135  2  0 98  0  0	
 4  0      0 516030528 771944 5944216    0    0     0 24950 2276 2351  2  0 98  0  0	
 3  0      0 515984672 772008 5985236    0    0     0 20762 2240 2355  2  0 98  0  0	
 5  0      0 515942400 772036 6026248    0    0     0 20817 2359 2588  2  0 98  0  0	
 4  0      0 515912608 772100 6054964    0    0     0 19435 2348 2842  2  0 98  0  0	
 7  0      0 515886336 772128 6083676    0    0     0 19337 2336 2806  2  0 98  0  0	
 4  0      0 515851776 772184 6116320    0    0     0 20579 2407 3174  2  0 98  0  0	
 4  0      0 515822304 772232 6145032    0    0     0 20901 2421 3502  2  0 98  0  0	
 3  0      0 515794176 772284 6173744    0    0     0 21236 2422 3569  2  0 98  0  0	
 3  0      0 515765184 772324 6202460    0    0     0 19616 2337 3281  2  0 98  0  0	
 3  0      0 515730464 772364 6234944    0    0     0 20119 2331 3223  2  0 98  0  0	
 3  0      0 515691040 772424 6272200    0    0     0 22883 2515 3838  2  0 98  0  0	
 3  0      0 515652544 772448 6308772    0    0     0 23126 2510 3667  2  0 98  0  0	
 2  0      0 515620512 772496 6337824    0    0     0 22365 2595 3749  2  0 98  0  0	
 3  0      0 515582624 772520 6374532    0    0     0 24640 2724 3889  2  0 98  0  0	
 2  0      0 515527424 772576 6427492    0    0     0 25168 2646 3818  2  0 98  0  0	
 3  1      0 515471872 772636 6481136    0    0     0 25821 2744 3817  2  0 98  0  0	
 3  0      0 515420224 772700 6530340    0    0     0 25354 2814 4123  2  0 98  0  0	
 3  0      0 515382144 772740 6567260    0    0     0 25163 2829 4004  2  0 98  0  0	
 4  0      0 515348096 772756 6600064    0    0     0 23860 2754 3650  2  0 98  0  0	
 5  0      0 515318688 772808 6628780    0    0     0 23298 2644 3617  2  0 98  0  0	
 4  0      0 515284992 772840 6661600    0    0     0 25145 2766 3874  2  0 98  0  0	
 2  0      0 515246720 772884 6698304    0    0     0 28667 2904 4266  2  0 98  0  0	
 2  0      0 515213952 772924 6731116    0    0     0 26785 2726 3893  2  0 98  0  0	
 2  0      0 515175872 772948 6768020    0    0     0 28041 2827 3856  2  0 98  0  0	
 3  0      0 515135232 772984 6809036    0    0     0 29040 2813 3941  2  0 98  0  0	
 3  0      0 515095872 773004 6850056    0    0     0 28731 2899 3955  2  0 98  0  0	
 2  0      0 515044000 773044 6899252    0    0     0 29064 2946 3834  2  0 98  0  0	
 2  0      0 515001888 773084 6940272    0    0     0 28101 2916 3580  2  0 98  0  0	
 2  0      0 514960000 773108 6981276    0    0     0 27469 2788 3373  2  0 98  0  0	
 1  0      0 514917632 773140 7022072    0    0     0 28139 2860 3649  2  0 98  0  0	
 1  0      0 514882752 773172 7054892    0    0     0 28847 2912 3759  2  0 98  0  0	
 2  0      0 514835040 773212 7100000    0    0     0 33469 3126 4159  2  0 98  0  0	
 1  0      0 514797728 773244 7136908    0    0     0 32065 3046 4015  2  0 98  0  0	
 1  0      0 514759872 773280 7173828    0    0     0 34019 3314 4255  2  0 98  0  0	
 2  0      0 514726208 773300 7206644    0    0     0 33858 3275 4216  2  0 98  0  0	
 1  0      0 514693184 773336 7239460    0    0     0 33857 3234 4334  2  0 98  0  0	
 1  1      0 514655552 773360 7276376    0    0     0 32869 3139 4034  2  0 98  0  0	
 3  0      0 514608800 773392 7317180    0    0     0 34055 3260 3818  2  0 98  0  0	
 3  0      0 514568832 773444 7354092    0    0     0 30721 3070 3758  2  0 98  0  0	
 2  0      0 514534528 773472 7386912    0    0     0 30036 3074 3718  2  0 98  0  0	
 2  0      0 514495040 773504 7423816    0    0     0 32109 3027 3613  2  0 98  0  0	
 1  0      0 514469760 773524 7452540    0    0     0 33639 3115 3908  2  0 98  0  0	
 2  0      0 514433376 773548 7489112    0    0     0 35479 3224 4201  2  0 98  0  0	
 2  0      0 514398464 773564 7521932    0    0     0 36775 3280 4375  2  0 98  0  0	
 3  0      0 514369248 773588 7550984    0    0     0 35323 3288 4132  2  0 98  0  0	
 2  0      0 514335552 773628 7583604    0    0     0 35426 3140 4115  2  0 98  0  0	
 2  0      0 514297600 773652 7620516    0    0     0 37034 3123 4355  2  0 98  0  0	
 1  0      0 514255168 773684 7661524    0    0     0 36244 3197 4076  2  0 98  0  0	
 4  0      0 514212576 773724 7702536    0    0     0 35668 3130 4012  2  0 98  0  0	
 2  0      0 514170016 773772 7743548    0    0     0 34241 3019 3897  2  0 98  0  0	
 2  0      0 514131744 773804 7780456    0    0     0 34236 3051 4080  2  0 98  0  0	
 2  0      0 514097984 773844 7812928    0    0     0 34516 3035 3843  2  0 98  0  0	
 1  0      0 514058720 773884 7850180    0    0     0 36505 2894 4198  2  0 98  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 513963136 781908 7970420    0    0   639   627    1    5  0  1 97  1  0	
 3  0      0 516706752 781940 5305972    0    0     0 23472 1699 1794  1  0 99  0  0	
 3  0      0 516332064 781972 5672668    0    0     0 34887 1950 2531  2  0 98  0  0	
 4  0      0 516108256 781988 5885708    0    0     0 36412 2114 3055  2  0 98  0  0	
 2  0      0 516026080 782004 5947192    0    0     0 25000 2246 2378  2  0 98  0  0	
 3  0      0 515981376 782032 5988200    0    0     0 19886 2191 2162  2  0 98  0  0	
 2  0      0 515939776 782036 6029012    0    0     0 20503 2283 2404  2  0 98  0  0	
 2  0      0 515905568 782068 6057736    0    0     0 19020 2222 2720  2  0 98  0  0	
 2  0      0 515876736 782104 6086448    0    0     0 19628 2239 3093  2  0 98  0  0	
 2  0      0 515841728 782128 6119260    0    0     0 20469 2272 3104  2  0 98  0  0	
 2  0      0 515807936 782136 6152076    0    0     0 20962 2336 3458  2  0 98  0  0	
 2  0      0 515779200 782188 6180800    0    0     0 20442 2378 3548  2  0 98  0  0	
 2  0      0 515749792 782224 6209520    0    0     0 20659 2368 3492  2  0 98  0  0	
 2  0      0 515722080 782252 6238236    0    0     0 20035 2431 3156  2  0 98  0  0	
 2  0      0 515683552 782284 6270852    0    0     0 20887 2351 3202  2  0 98  0  0	
 3  0      0 515648064 782336 6303664    0    0     0 20859 2356 3254  2  0 98  0  0	
 7  0      0 515612832 782360 6336480    0    0     0 24203 2544 3793  2  0 98  0  0	
 3  0      0 515574400 782392 6373396    0    0     0 24410 2585 3749  2  0 98  0  0	
 3  0      0 515521216 782424 6422592    0    0     0 24725 2600 3619  2  0 98  0  0	
