Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            3299.64     23118.87     23173.28 2204523393 2209711406
sdc               0.33         1.12        10.61     107046    1011274
sde            3055.24     23195.88     23092.70 2211866426 2202027990
sdd            3050.58     22699.63     21836.31 2164546794 2082223310
sdf            3018.01     22686.70     21742.75 2163313858 2073301942
sda               1.46        15.13        25.26    1442872    2408924
dm-0              3.58        14.96        25.26    1426930    2408880
dm-1              0.00         0.03         0.00       2592          0
dm-2              0.00         0.01         0.00       1280         16
md0           15451.54     90836.55     83154.34 8661811490 7929267008

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             112.57         0.00      7511.47          0     450688
sdc               0.10         0.00         0.73          0         44
sde              83.25         0.00      8321.47          0     499288
sdd              74.27         0.00      5732.53          0     343952
sdf              74.37         0.00      7983.60          0     479016
sda               0.80         0.00        11.73          0        704
dm-0              1.47         0.00        11.73          0        704
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            3697.87         0.00     29549.20          0    1772952

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb              82.90         0.00      4642.27          0     278536
sdc               0.45         0.00         3.60          0        216
sde              58.83         0.00      5543.73          0     332624
sdd              55.60         0.00      3335.33          0     200120
sdf              52.33         0.00      5101.73          0     306104
sda               1.20         0.00        14.53          0        872
dm-0              1.82         0.00        14.53          0        872
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            2332.52         0.00     18622.93          0    1117376

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb              83.25         0.00      4063.60          0     243816
sdc               0.07         0.00         0.10          0          6
sde              61.75         0.00      5208.93          0     312536
sdd              54.42         0.00      2957.73          0     177464
sdf              55.37         0.00      4674.27          0     280456
sda               0.95         0.00        10.80          0        648
dm-0              1.35         0.00        10.80          0        648
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            2119.27         0.00     16904.80          0    1014288

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb              17.93         0.00       707.33          0      42440
sdc               0.32         0.00         2.98          0        179
sde              14.70         0.00       925.60          0      55536
sdd              11.27         0.00       468.27          0      28096
sdf              12.13         0.00       788.13          0      47288
sda               0.95         0.00        10.40          0        624
dm-0              1.30         0.00        10.40          0        624
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0             362.03         0.00      2889.07          0     173344

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         1.33          0         80
sdc               0.48         0.00         4.13          0        248
sde               0.13         0.00         1.87          0        112
sdd               0.00         0.00         0.00          0          0
sdf               0.00         0.00         0.00          0          0
sda               1.18         0.00        14.27          0        856
dm-0              1.78         0.00        14.27          0        856
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.40         0.00         3.20          0        192

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.15         0.00         1.20          0         72
sdc               0.07         0.00         0.10          0          6
sde               0.18         0.00         2.40          0        144
sdd               0.00         0.00         0.00          0          0
sdf               0.00         0.00         0.00          0          0
sda               0.98         0.00        11.33          0        680
dm-0              1.42         0.00        11.33          0        680
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.45         0.00         3.60          0        216

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.15         0.00         1.47          0         88
sdc               0.10         0.00         0.73          0         44
sde               0.13         0.00         1.87          0        112
sdd               0.00         0.00         0.00          0          0
sdf               0.05         0.00         0.80          0         48
sda               1.05         0.00        11.33          0        680
dm-0              1.42         0.00        11.33          0        680
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.52         0.00         4.13          0        248

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         1.33          0         80
sdc               0.45         0.00         3.60          0        216
sde               0.07         0.00         0.67          0         40
sdd               0.00         0.00         0.00          0          0
sdf               0.07         0.00         1.20          0         72
sda               0.90         0.00        11.47          0        688
dm-0              1.43         0.00        11.47          0        688
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.40         0.00         3.20          0        192

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         1.33          0         80
sdc               0.97         0.00       358.12          0      21487
sde               0.03         0.00         0.40          0         24
sdd               0.00         0.00         0.00          0          0
sdf               0.07         0.00         1.20          0         72
sda               0.85         0.00        11.20          0        672
dm-0              1.40         0.00        11.20          0        672
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0               0.37         0.00         2.93          0        176

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb               0.13         0.00         1.33          0         80
sdc               0.75         0.00         6.92          0        415
sde               0.03         0.00         0.40          0         24
