Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.12  2901.18 1719.60 1580.04 23118.87 23173.28    14.03     1.20    0.37   0.04  14.40
sdc               0.03     0.02    0.09    0.24     1.12    10.61    35.82     0.00    0.95   0.53   0.02
sde               0.03  1671.56 1719.71 1335.53 23195.88 23092.70    15.15     0.75    0.25   0.05  13.88
sdd               0.03  1375.01 1718.80 1331.78 22699.63 21836.31    14.60     0.75    0.25   0.05  13.76
sdf               0.03  1368.71 1718.78 1299.24 22686.70 21742.75    14.72     1.20    0.40   0.05  14.70
sda               0.11     2.06    0.36    1.10    15.13    25.26    27.63     0.07   49.76   4.99   0.73
dm-0              0.00     0.00    0.42    3.16    14.96    25.26    11.25     0.29   80.47   2.04   0.73
dm-1              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    4.00   3.02   0.00
dm-2              0.00     0.00    0.00    0.00     0.01     0.00     8.00     0.00    4.14   3.09   0.00
md0               0.00     0.00 6875.20 8576.34 90836.55 83154.34    11.26     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00   844.23    0.00  112.57     0.00  7511.47    66.73     0.03    0.24   0.11   1.26
sdc               0.00     0.00    0.00    0.10     0.00     0.73     7.33     0.00    0.00   0.00   0.00
sde               0.00   956.93    0.00   83.25     0.00  8321.47    99.96     0.05    0.54   0.25   2.07
sdd               0.00   642.30    0.00   74.27     0.00  5732.53    77.19     0.04    0.50   0.21   1.58
sdf               0.00   923.58    0.00   74.37     0.00  7983.60   107.35     0.05    0.67   0.28   2.05
sda               0.00     0.67    0.00    0.80     0.00    11.73    14.67     0.01   12.04   6.81   0.55
dm-0              0.00     0.00    0.00    1.47     0.00    11.73     8.00     0.02   12.66   3.72   0.55
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 3697.87     0.00 29549.20     7.99     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00   512.53    0.00   82.90     0.00  4642.27    56.00     0.02    0.22   0.10   0.83
sdc               0.00     0.02    0.00    0.45     0.00     3.60     8.00     0.00    0.07   0.04   0.00
sde               0.00   634.13    0.00   58.83     0.00  5543.73    94.23     0.03    0.50   0.23   1.38
sdd               0.00   361.32    0.00   55.60     0.00  3335.33    59.99     0.02    0.42   0.18   1.03
sdf               0.00   585.38    0.00   52.33     0.00  5101.73    97.49     0.04    0.70   0.29   1.54
sda               0.00     0.62    0.00    1.20     0.00    14.53    12.11     0.02   17.00   7.58   0.91
dm-0              0.00     0.00    0.00    1.82     0.00    14.53     8.00     0.03   15.57   5.01   0.91
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 2332.52     0.00 18622.93     7.98     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00   441.87    0.00   83.25     0.00  4063.60    48.81     0.02    0.21   0.10   0.81
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00   589.37    0.00   61.75     0.00  5208.93    84.36     0.03    0.49   0.22   1.34
sdd               0.00   315.30    0.00   54.42     0.00  2957.73    54.35     0.02    0.42   0.17   0.92
sdf               0.00   528.92    0.00   55.37     0.00  4674.27    84.42     0.04    0.65   0.26   1.43
sda               0.00     0.40    0.00    0.95     0.00    10.80    11.37     0.01   12.96   6.89   0.66
dm-0              0.00     0.00    0.00    1.35     0.00    10.80     8.00     0.02   12.98   4.85   0.66
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 2119.27     0.00 16904.80     7.98     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00    73.23    0.00   17.93     0.00   707.33    39.44     0.00    0.20   0.08   0.15
sdc               0.00     0.02    0.00    0.32     0.00     2.98     9.42     0.00    0.53   0.21   0.01
sde               0.00   101.00    0.00   14.70     0.00   925.60    62.97     0.01    0.44   0.17   0.25
sdd               0.00    47.27    0.00   11.27     0.00   468.27    41.56     0.00    0.44   0.18   0.20
sdf               0.00    86.38    0.00   12.13     0.00   788.13    64.96     0.01    0.68   0.22   0.27
sda               0.00     0.35    0.00    0.95     0.00    10.40    10.95     0.01   15.19   6.91   0.66
dm-0              0.00     0.00    0.00    1.30     0.00    10.40     8.00     0.02   15.63   5.05   0.66
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00  362.03     0.00  2889.07     7.98     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.07    0.00    0.13     0.00     1.33    10.00     0.00    1.38   0.50   0.01
sdc               0.00     0.02    0.00    0.48     0.00     4.13     8.55     0.00    0.24   0.14   0.01
sde               0.00     0.10    0.00    0.13     0.00     1.87    14.00     0.00    1.12   0.50   0.01
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.60    0.00    1.18     0.00    14.27    12.06     0.02   16.20   7.38   0.87
dm-0              0.00     0.00    0.00    1.78     0.00    14.27     8.00     0.03   16.68   4.90   0.87
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.40     0.00     3.20     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.05    0.00    0.15     0.00     1.20     8.00     0.00    1.00   0.33   0.01
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00     0.12    0.00    0.18     0.00     2.40    13.09     0.00    0.55   0.55   0.01
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.43    0.00    0.98     0.00    11.33    11.53     0.01   13.37   7.46   0.73
dm-0              0.00     0.00    0.00    1.42     0.00    11.33     8.00     0.02   12.87   5.18   0.73
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.45     0.00     3.60     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.08    0.00    0.15     0.00     1.47     9.78     0.00    1.22   0.44   0.01
sdc               0.00     0.00    0.00    0.10     0.00     0.73     7.33     0.00    0.00   0.00   0.00
sde               0.00     0.10    0.00    0.13     0.00     1.87    14.00     0.00    1.25   0.88   0.01
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.05    0.00    0.05     0.00     0.80    16.00     0.00   10.33  10.33   0.05
sda               0.00     0.37    0.00    1.05     0.00    11.33    10.79     0.01   12.84   6.86   0.72
dm-0              0.00     0.00    0.00    1.42     0.00    11.33     8.00     0.02   12.79   5.08   0.72
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.52     0.00     4.13     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.07    0.00    0.13     0.00     1.33    10.00     0.00    1.12   0.38   0.01
sdc               0.00     0.02    0.00    0.45     0.00     3.60     8.00     0.00    0.00   0.00   0.00
sde               0.00     0.02    0.00    0.07     0.00     0.67    10.00     0.00    1.50   0.75   0.01
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.08    0.00    0.07     0.00     1.20    18.00     0.00    0.50   0.50   0.00
sda               0.00     0.53    0.00    0.90     0.00    11.47    12.74     0.01   16.54   7.35   0.66
dm-0              0.00     0.00    0.00    1.43     0.00    11.47     8.00     0.02   17.22   4.62   0.66
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.40     0.00     3.20     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.07    0.00    0.13     0.00     1.33    10.00     0.00    1.12   0.38   0.01
sdc               0.00     0.03    0.00    0.97     0.00   358.12   370.47     0.00    3.57   0.41   0.04
sde               0.00     0.02    0.00    0.03     0.00     0.40    12.00     0.00    0.00   0.00   0.00
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.08    0.00    0.07     0.00     1.20    18.00     0.00    0.50   0.50   0.00
sda               0.00     0.55    0.00    0.85     0.00    11.20    13.18     0.01   14.65   8.25   0.70
dm-0              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.02   15.51   5.01   0.70
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.37     0.00     2.93     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.07    0.00    0.13     0.00     1.33    10.00     0.00    1.12   0.38   0.01
sdc               0.00     0.15    0.00    0.75     0.00     6.92     9.22     0.00    0.31   0.18   0.01
sde               0.00     0.02    0.00    0.03     0.00     0.40    12.00     0.00    1.00   0.50   0.00
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.08    0.00    0.07     0.00     1.20    18.00     0.00    0.75   0.75   0.01
sda               0.00     0.33    0.00    0.95     0.00    10.27    10.81     0.01   13.18   6.89   0.66
dm-0              0.00     0.00    0.00    1.28     0.00    10.27     8.00     0.02   12.60   5.10   0.66
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.37     0.00     2.93     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.07    0.00    0.15     0.00     1.33     8.89     0.00    1.22   0.44   0.01
sdc               0.00     0.02    0.00    0.50     0.00     4.40     8.80     0.00    0.07   0.03   0.00
sde               0.00     0.03    0.00    0.05     0.00     0.67    13.33     0.00    2.00   1.67   0.01
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.13    0.00    0.10     0.00     1.87    18.67     0.00    0.50   0.50   0.01
sda               0.00     0.53    0.00    1.02     0.00    12.40    12.20     0.01   13.72   7.11   0.72
dm-0              0.00     0.00    0.00    1.55     0.00    12.40     8.00     0.02   14.81   4.67   0.72
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.48     0.00     3.87     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.07    0.00    0.13     0.00     1.33    10.00     0.00    1.12   0.38   0.01
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00     0.02    0.00    0.07     0.00     0.67    10.00     0.00    2.00   1.00   0.01
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.08    0.00    0.07     0.00     1.20    18.00     0.00    0.75   0.75   0.01
sda               0.00     0.55    0.00    1.17     0.00    13.73    11.77     0.02   17.01   7.17   0.84
dm-0              0.00     0.00    0.00    1.72     0.00    13.73     8.00     0.03   16.68   4.88   0.84
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
