procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 514156576 773944 7855892    0    0   716   702    1    4  0  1 97  1  0	
 3  0      0 513974528 774004 7966772    0    0     0 14781 1235 1918  0  0 100  0  0	
 4  0      0 513974816 774040 7966824    0    0     0  9321  862 1558  0  0 100  0  0	
 2  0      0 513972640 774076 7966868    0    0     0  8458  829 1386  0  0 100  0  0	
 3  0      0 513976544 774124 7966920    0    0     0  1451  435  641  0  0 100  0  0	
 2  0      0 513975744 774164 7966960    0    0     0    11  335  508  0  0 100  0  0	
 2  0      0 513976768 774192 7967008    0    0     0     8  332  503  0  0 100  0  0	
 2  0      0 513976256 774212 7967048    0    0     0     8  325  501  0  0 100  0  0	
 1  0      0 513976256 774224 7966888    0    0     0     9  326  501  0  0 100  0  0	
 2  0      0 513979040 774244 7966920    0    0     0   186  348  510  0  0 100  0  0	
 1  0      0 513979008 774268 7966972    0    0     0    10  327  506  0  0 100  0  0	
 2  0      0 513978912 774308 7967008    0    0     0    10  334  507  0  0 100  0  0	
 1  0      0 513974528 774336 7967064    0    0     0     9  333  503  0  0 100  0  0	
 2  0      0 513973568 774368 7967116    0    0     0     8  328  505  0  0 100  0  0	
 2  0      0 513973824 774404 7967152    0    0     0    11  327  504  0  0 100  0  0	
 2  0      0 513974016 774424 7967200    0    0     0     7  326  502  0  0 100  0  0	
 1  0      0 513973856 774468 7967036    0    0     0     8  330  504  0  0 100  0  0	
 2  0      0 513973696 774508 7967088    0    0     0     9  326  503  0  0 100  0  0	
 1  0      0 513973536 774532 7967124    0    0     0     6  323  501  0  0 100  0  0	
 2  0      0 513973728 774576 7967168    0    0     0     8  327  505  0  0 100  0  0	
 2  0      0 513973920 774608 7967216    0    0     0    10  322  502  0  0 100  0  0	
 1  0      0 513973376 774648 7967260    0    0     0     7  325  503  0  0 100  0  0	
 2  0      0 513976800 774680 7967304    0    0     0    10  339  507  0  0 100  0  0	
 2  0      0 513976544 774708 7967348    0    0     0     9  324  502  0  0 100  0  0	
 2  0      0 513976448 774728 7967204    0    0     0    10  327  512  0  0 100  0  0	
 1  0      0 513975392 774780 7967252    0    0     0     8  326  508  0  0 100  0  0	
 2  0      0 513975104 774820 7967296    0    0     0     9  335  516  0  0 100  0  0	
 2  0      0 513973056 774856 7967336    0    0     0     7  327  507  0  0 100  0  0	
 2  0      0 513973568 774876 7967384    0    0     0    11  365  532  0  0 100  0  0	
 2  0      0 513974912 774900 7967424    0    0     0    11  328  513  0  0 100  0  0	
 2  0      0 513974528 774920 7967468    0    0     0     8  328  510  0  0 100  0  0	
 2  1      0 513974336 774952 7967508    0    0     0     8  335  514  0  0 100  0  0	
 1  0      0 513974208 774976 7967380    0    0     0    11  339  515  0  0 100  0  0	
 1  1      0 513974176 775012 7967416    0    0     0     7  328  510  0  0 100  0  0	
 1  0      0 513974016 775056 7967452    0    0     0     9  332  515  0  0 100  0  0	
 0  0      0 513974368 775116 7967504    0    0     0     9  330  513  0  0 100  0  0	
 1  0      0 513974304 775168 7967552    0    0     0     7  330  512  0  0 100  0  0	
 1  0      0 513973600 775224 7967596    0    0     0    10  335  524  0  0 100  0  0	
 1  0      0 513975552 775252 7967644    0    0     0   190  356  524  0  0 100  0  0	
 0  0      0 513977728 775288 7967504    0    0     0    11  337  519  0  0 100  0  0	
 1  0      0 513975264 775332 7967540    0    0     0     8  326  512  0  0 100  0  0	
 1  0      0 513972704 775384 7967588    0    0     0     9  332  514  0  0 100  0  0	
 1  0      0 513973088 775436 7967640    0    0     0     8  340  524  0  0 100  0  0	
 1  0      0 513973280 775480 7967684    0    0     0     9  335  526  0  0 100  0  0	
 0  0      0 513972992 775528 7967724    0    0     0    11  336  527  0  0 100  0  0	
 1  0      0 513972800 775560 7967764    0    0     0     7  338  527  0  0 100  0  0	
 1  0      0 513971136 775600 7967816    0    0     0     9  343  539  0  0 100  0  0	
 1  0      0 513972224 775636 7967668    0    0     0    11  337  528  0  0 100  0  0	
 0  0      0 513971936 775684 7967704    0    0     0     7  339  527  0  0 100  0  0	
 1  0      0 513972128 775736 7967752    0    0     0     9  344  530  0  0 100  0  0	
 1  0      0 513971552 775764 7967796    0    0     0    10  345  528  0  0 100  0  0	
 1  1      0 513971520 775792 7967840    0    0     0     7  339  524  0  0 100  0  0	
 1  0      0 513972544 775836 7967908    0    0     0     9  351  530  0  0 100  0  0	
 0  0      0 513972768 775880 7967932    0    0     0    10  335  512  0  0 100  0  0	
 1  0      0 513972736 775904 7967976    0    0     0     8  328  509  0  0 100  0  0	
 1  0      0 513975616 775956 7967828    0    0     0     8  347  517  0  0 100  0  0	
 1  0      0 513975552 775996 7967868    0    0     0    10  333  509  0  0 100  0  0	
 1  0      0 513975040 776044 7967916    0    0     0     7  333  508  0  0 100  0  0	
 0  0      0 513974976 776092 7967960    0    0     0     8  337  512  0  0 100  0  0	
 1  0      0 513974624 776144 7968004    0    0     0    10  337  512  0  0 100  0  0	
 1  0      0 513974176 776188 7968044    0    0     0     8  328  507  0  0 100  0  0	
 1  0      0 513973376 776224 7968092    0    0     0     8  333  510  0  0 100  0  0	
 1  0      0 513973152 776264 7968148    0    0     0    11  351  517  0  0 100  0  0	
 1  0      0 513972416 776324 7968004    0    0     0     8  343  512  0  0 100  0  0	
 1  0      0 513973024 776388 7968048    0    0     0     9  338  514  0  0 100  0  0	
 1  0      0 513972928 776416 7968088    0    0     0     9  333  514  0  0 100  0  0	
 1  0      0 513972576 776472 7968128    0    0     0     7  329  511  0  0 100  0  0	
 1  0      0 513972000 776512 7968176    0    0     0     8  327  510  0  0 100  0  0	
 0  0      0 513968960 776564 7968224    0    0     0    10  330  513  0  0 100  0  0	
 1  0      0 513972384 776588 7968260    0    0     0   187  353  525  0  0 100  0  0	
 1  0      0 513972864 776636 7968316    0    0     0     9  337  522  0  0 100  0  0	
 1  0      0 513973024 776688 7968156    0    0     0    10  346  522  0  0 100  0  0	
 0  0      0 513972704 776748 7968208    0    0     0     8  336  510  0  0 100  0  0	
 1  0      0 513973056 776812 7968276    0    0     0     8  329  509  0  0 100  0  0	
 0  0      0 513973184 776864 7968296    0    0     0    12  334  521  0  0 100  0  0	
 1  0      0 513973312 776904 7968344    0    0     0     7  333  523  0  0 100  0  0	
 1  0      0 513972864 776956 7968400    0    0     0     8  335  523  0  0 100  0  0	
 0  0      0 513972896 777004 7968424    0    0     0    10  333  522  0  0 100  0  0	
 1  0      0 513972832 777048 7968468    0    0     0     8  328  516  0  0 100  0  0	
 1  0      0 513972384 777092 7968328    0    0     0     8  331  514  0  0 100  0  0	
 1  0      0 513972192 777144 7968368    0    0     0    10  329  513  0  0 100  0  0	
 0  0      0 513973408 777196 7968408    0    0     0     7  340  515  0  0 100  0  0	
 0  0      0 513971776 777204 7968456    0    0     0     8  329  509  0  0 100  0  0	
 1  0      0 513972352 777248 7968508    0    0     0    10  330  512  0  0 100  0  0	
 1  0      0 513970848 777300 7968552    0    0     0    10  334  521  0  0 100  0  0	
 1  0      0 513970720 777336 7968596    0    0     0     9  328  514  0  0 100  0  0	
 0  0      0 513970272 777388 7968636    0    0     0    10  331  513  0  0 100  0  0	
 0  0      0 513969568 777424 7968496    0    0     0     7  324  508  0  0 100  0  0	
 1  0      0 513969984 777480 7968536    0    0     0     7  342  525  0  0 100  0  0	
 1  0      0 513970944 777528 7968576    0    0     0    11  347  531  0  0 100  0  0	
 0  0      0 513970976 777576 7968624    0    0     0     7  342  525  0  0 100  0  0	
 0  0      0 513970848 777616 7968664    0    0     0     7  346  522  0  0 100  0  0	
 1  0      0 513969888 777668 7968720    0    0     0    11  344  522  0  0 100  0  0	
 1  0      0 513970496 777708 7968760    0    0     0     8  335  518  0  0 100  0  0	
 1  0      0 513971264 777740 7968628    0    0     0     9  348  521  0  0 100  0  0	
 1  0      0 513970848 777800 7968668    0    0     0    10  339  519  0  0 100  0  0	
 0  0      0 513970816 777856 7968704    0    0     0     7  335  520  0  0 100  0  0	
 2  0      0 513971488 777884 7968752    0    0     0   187  368  541  0  0 100  0  0	
 1  0      0 513973600 777920 7968800    0    0     0    12  346  529  0  0 100  0  0	
 1  0      0 513973248 777984 7968840    0    0     0     9  346  532  0  0 100  0  0	
 0  0      0 513972928 778012 7968884    0    0     0     8  345  531  0  0 100  0  0	
 0  0      0 513972160 778052 7968924    0    0     0    10  350  532  0  0 100  0  0	
 1  0      0 513972480 778092 7968792    0    0     0     9  354  531  0  0 100  0  0	
 1  0      0 513972480 778140 7968828    0    0     0     7  344  527  0  0 100  0  0	
 1  0      0 513972160 778180 7968872    0    0     0    10  342  526  0  0 100  0  0	
 0  0      0 513971968 778240 7968920    0    0     0     8  343  528  0  0 100  0  0	
